PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,AST,REB,FG3M,STL,BLK,PTS+REB,PTS+AST,REB+AST,PTS+REB+AST
Keldon Johnson,SAS,5,24.9,10.0,1.2,4.2,1.0,1.2,0.4,14.2,11.2,5.4,15.4
Kel'el Ware,MIA,4,14.9,8.8,0.8,5.8,1.3,0.5,0.3,14.6,9.6,6.6,15.4
Jordan Goodwin,PHX,5,21.2,8.0,2.2,5.2,1.0,1.8,0.4,13.2,10.2,7.4,15.4
Ryan Kalkbrenner,CHA,5,19.8,8.8,1.0,5.6,0.0,0.4,0.4,14.4,9.8,6.6,15.4
Dylan Cardwell,SAC,5,20.8,5.6,1.0,8.8,0.0,0.6,1.4,14.4,6.6,9.8,15.4
Vince Williams Jr.,MEM,4,20.9,8.0,3.8,3.5,1.5,0.8,0.3,11.5,11.8,7.3,15.3
Steven Adams,HOU,3,23.5,5.0,1.0,9.3,0.0,0.7,0.7,14.3,6.0,10.3,15.3
Al Horford,GSW,4,19.8,8.0,3.0,4.3,1.8,0.8,1.3,12.3,11.0,7.3,15.3
Ryan Nembhard,DAL,5,20.6,6.6,6.2,2.4,0.8,0.2,0.0,9.0,12.8,8.6,15.2
Olivier-Maxence Prosper,MEM,1,26.3,8.0,0.0,7.0,0.0,1.0,0.0,15.0,8.0,7.0,15.0
Goga Bitadze,ORL,5,17.0,7.2,0.8,7.0,0.0,1.4,1.2,14.2,8.0,7.8,15.0
Kyle Kuzma,MIL,5,24.4,10.8,1.4,2.6,1.6,0.4,0.6,13.4,12.2,4.0,14.8
Quinten Post,GSW,5,17.0,8.4,1.2,5.0,1.8,0.0,0.4,13.4,9.6,6.2,14.6
T.J. McConnell,IND,4,16.4,7.8,5.8,1.0,0.0,0.8,0.3,8.8,13.6,6.8,14.6
Jaden Hardy,DAL,5,18.9,11.2,1.8,1.6,2.4,0.2,0.0,12.8,13.0,3.4,14.6
Danny Wolf,BKN,5,18.5,8.6,1.8,4.0,1.6,1.0,0.8,12.6,10.4,5.8,14.4
Tristan da Silva,ORL,4,20.6,10.5,1.3,2.5,1.5,1.3,0.3,13.0,11.8,3.8,14.3
Luguentz Dort,OKC,4,23.9,9.3,1.0,4.0,2.0,0.5,0.5,13.3,10.3,5.0,14.3
Cody Williams,UTA,5,28.5,8.6,1.0,4.6,0.6,0.6,0.6,13.2,9.6,5.6,14.2
Caleb Martin,DAL,5,21.3,7.2,3.4,3.6,0.6,1.8,0.2,10.8,10.6,7.0,14.2
Dwight Powell,DAL,5,26.6,5.6,1.6,7.0,0.0,1.0,0.6,12.6,7.2,8.6,14.2
Kyle Anderson,UTA,4,19.8,7.3,3.3,3.5,0.3,0.5,0.8,10.8,10.6,6.8,14.1
GG Jackson,MEM,5,19.2,10.8,0.6,2.6,1.6,0.8,0.4,13.4,11.4,3.2,14.0
Egor Dëmin,BKN,3,23.3,11.0,2.7,0.3,3.0,0.3,0.7,11.3,13.7,3.0,14.0
Luka Garza,BOS,5,19.4,8.4,0.8,4.8,1.2,0.6,0.4,13.2,9.2,5.6,14.0
Terance Mann,BKN,5,23.4,6.4,4.6,3.0,1.2,0.6,0.0,9.4,11.0,7.6,14.0
Nolan Traore,BKN,5,23.4,9.0,3.6,1.2,1.6,0.4,0.0,10.2,12.6,4.8,13.8
Quenton Jackson,IND,5,18.1,9.6,1.8,2.4,1.4,0.8,0.4,12.0,11.4,4.2,13.8
Daniss Jenkins,DET,4,16.9,5.0,6.0,2.8,0.8,1.8,0.3,7.8,11.0,8.8,13.8
Drake Powell,BKN,4,24.7,10.0,2.0,1.8,1.5,0.3,0.0,11.8,12.0,3.8,13.8
Kris Dunn,LAC,5,28.5,6.6,3.4,3.6,0.8,1.6,0.4,10.2,10.0,7.0,13.6
Isaiah Joe,OKC,5,16.9,9.8,1.0,2.8,2.4,0.4,0.0,12.6,10.8,3.8,13.6
Jaylin Williams,OKC,5,15.7,6.8,2.4,4.2,1.0,0.2,0.6,11.0,9.2,6.6,13.4
Sion James,CHA,5,22.2,4.6,3.6,5.0,0.6,0.6,0.2,9.6,8.2,8.6,13.2
Jeremiah Robinson-Earl,DAL,3,18.5,7.3,1.0,4.7,0.7,0.7,0.0,12.0,8.3,5.7,13.0
